x1,y1,z1,x2,y2,z2
0,0,0,0,0,4000
0,6000,0,0,6000,4000
0,12000,0,0,12000,4000
8000,0,0,8000,0,4000
8000,6000,0,8000,6000,4000
8000,12000,0,8000,12000,4000
16000,0,0,16000,0,4000
16012,6000,0,16012,6000,4000
16000,12000,0,16000,12000,4000
24000,0,0,24000,0,4000
24000,6000,0,24000,6000,4000
24000,12000,0,24000,12000,4000
0,0,4000,0,0,8000
0,6000,4000,0,6000,8000
0,12000,4000,0,12000,8000
8000,0,4000,8000,0,8000
8000,6000,4000,8000,6000,8000
8000,12000,4000,8000,12000,8000
16000,0,4000,16000,0,8000
16000,6000,4000,16000,6000,8000
16000,12000,4000,16000,12000,8000
24000,0,4000,24000,0,8000
24000,6000,4000,24000,6000,8000
24000,12000,4000,24000,12000,8000
0,0,8000,0,0,12300
0,6000,8000,0,6000,12300
0,12000,8000,0,12000,12300
8000,0,8000,8000,0,12300
8000,6000,8000,8000,6000,12300
8000,12000,8000,8000,12000,12300
16000,0,8000,16000,0,12300
16000,6000,8000,16000,6000,12300
16000,12000,8000,16000,12000,12300
24000,0,8000,24000,0,12300
24000,6000,8000,24000,6000,12300
24000,12000,8000,24000,12000,12300
0,0,4000,8000,0,4000
8000,0,4000,16000,0,4000
16000,0,4000,24000,0,4000
0,6000,4000,8000,6000,4000
8000,6000,4000,16012,6000,4000
16012,6000,4000,24000,6000,4000
0,12000,4025,8000,12000,4025
8000,12000,4000,16000,12000,4000
16000,12000,4000,24000,12000,4000
0,0,4000,0,6000,4000
0,6000,4000,0,12000,4000
8000,0,4000,8000,6000,4000
8000,6000,4000,8000,12000,4000
16000,0,4000,16012,6000,4000
16012,6000,4000,16000,12000,4000
24000,0,4000,24000,6000,4000
24000,6000,4000,24000,12000,4000
0,0,8000,8000,0,8000
8000,0,8000,16000,0,8000
16000,0,8000,24000,0,8000
0,6000,8000,8000,6000,8000
8000,6000,8000,16000,6000,8000
16000,6000,8000,24000,6000,8000
0,12000,8000,8000,12000,8000
8000,12000,8000,16000,12000,8000
16000,12000,8000,24000,12000,8000
0,0,8000,0,6000,8000
0,6000,8000,0,12000,8000
8000,0,8000,8000,6000,8000
8000,6000,8000,8000,12000,8000
16000,0,8000,16000,6000,8000
16000,6000,8000,16000,12000,8000
24000,0,8000,24000,6000,8000
24000,6000,8000,24000,12000,8000
0,0,12300,8000,0,12300
8000,0,12300,16000,0,12300
16000,0,12300,24000,0,12300
0,6000,12300,8000,6000,12300
8000,6000,12300,16000,6000,12300
16000,6000,12300,24000,6000,12300
0,12000,12300,8000,12000,12300
8000,12000,12300,16000,12000,12300
16000,12000,12300,24000,12000,12300
0,0,12300,0,6000,12300
0,6000,12300,0,12000,12300
8000,0,12300,8000,6000,12300
8000,6000,12300,8000,12000,12300
16000,0,12300,16000,6000,12300
16000,6000,12300,16000,12000,12300
24000,0,12300,24000,6000,12300
24000,6000,12300,24000,12000,12300
0,0,1800,8000,0,1800
8000,0,1800,8000,6000,1800
8000,6000,1800,0,6000,1800
0,6000,1800,0,0,1800
0,0,0,8000,0,4000
24000,0,0,16000,0,4000
