x1,y1,z1,x2,y2,z2
0,0,0,3000,0,0
0,0,3000,3000,0,3375
3000,0,0,6000,0,0
3000,0,3375,6000,0,3750
6000,0,0,9000,0,0
6000,0,3750,9000,0,4125
9000,0,0,12000,0,0
9000,0,4125,12000,0,4500
12000,0,0,15000,0,0
12000,0,4500,15000,0,4125
15000,0,0,18000,0,0
15000,0,4125,18000,0,3750
18000,0,0,21000,0,0
18000,0,3750,21000,0,3375
21000,0,0,24000,0,0
21000,0,3375,24000,0,3000
0,0,0,0,0,3000
3000,0,0,3000,0,3375
6000,0,0,6000,0,3750
9000,0,0,9000,0,4125
12000,0,0,12000,0,4500
15000,0,0,15000,0,4125
18000,0,0,18000,0,3750
21000,0,0,21000,0,3375
24000,0,0,24000,0,3000
0,0,3000,3000,0,0
3000,0,3375,6000,0,0
6000,0,3750,9000,0,0
9000,0,4125,12000,0,0
15000,0,4125,12000,0,0
18000,0,3750,15000,0,0
21000,0,3375,18000,0,0
24000,0,3000,21000,0,0
